grantid,pid,BUDGET_START
55605,430373,10/01/1986
55605,477974,10/01/1986
55609,184530,10/01/1986
55609,411786,10/01/1986
55609,411891,10/01/1986
55609,426158,10/01/1986
55609,433872,10/01/1986
55612,184828,10/01/1986
55612,416264,10/01/1986
55612,422878,10/01/1986
55612,478040,10/01/1986
55613,441564,10/01/1986
55613,456769,10/01/1986
55613,558169,10/01/1986
55616,115482,10/01/1986
55616,115487,10/01/1986
55616,178908,10/01/1986
55616,178952,10/01/1986
55616,179145,10/01/1986
55616,179183,10/01/1986
55616,182209,10/01/1986
55616,182272,10/01/1986
55616,182279,10/01/1986
55616,182298,10/01/1986
55616,182299,10/01/1986
55616,182337,10/01/1986
55616,182585,10/01/1986
55616,182587,10/01/1986
55616,184933,10/01/1986
55616,189149,10/01/1986
55616,189185,10/01/1986
55616,251305,10/01/1986
55616,412557,10/01/1986
55616,412792,10/01/1986
55616,412897,10/01/1986
55616,415911,10/01/1986
55616,416366,10/01/1986
55616,416633,10/01/1986
55616,416913,10/01/1986
55616,417390,10/01/1986
55616,417868,10/01/1986
55616,418191,10/01/1986
55616,418206,10/01/1986
55616,418429,10/01/1986
55616,418573,10/01/1986
55616,418708,10/01/1986
55616,418718,10/01/1986
55616,418813,10/01/1986
55616,419095,10/01/1986
55616,419610,10/01/1986
55616,419943,10/01/1986
55616,420397,10/01/1986
55616,420399,10/01/1986
55616,420848,10/01/1986
55616,421105,10/01/1986
55616,421550,10/01/1986
55616,421700,10/01/1986
55616,422355,10/01/1986
55616,422403,10/01/1986
55616,422663,10/01/1986
55616,422672,10/01/1986
55616,422925,10/01/1986
55616,423264,10/01/1986
55616,423914,10/01/1986
55616,425006,10/01/1986
55616,425014,10/01/1986
55616,425326,10/01/1986
55616,426419,10/01/1986
55616,426608,10/01/1986
55616,426642,10/01/1986
55616,426721,10/01/1986
55616,426759,10/01/1986
55616,427093,10/01/1986
55616,427930,10/01/1986
55616,428262,10/01/1986
55616,428440,10/01/1986
55616,428441,10/01/1986
55616,428452,10/01/1986
55616,428688,10/01/1986
55616,429059,10/01/1986
55616,430026,10/01/1986
55616,430035,10/01/1986
55616,430606,10/01/1986
55616,430709,10/01/1986
55616,430877,10/01/1986
55616,432425,10/01/1986
55616,432692,10/01/1986
55616,432700,10/01/1986
55616,432809,10/01/1986
55616,432976,10/01/1986
55616,433812,10/01/1986
55616,433839,10/01/1986
55616,433889,10/01/1986
55616,436115,10/01/1986
55616,436303,10/01/1986
55616,436531,10/01/1986
55616,436543,10/01/1986
55616,439555,10/01/1986
55616,439903,10/01/1986
55616,440600,10/01/1986
55616,440607,10/01/1986
55616,442253,10/01/1986
55616,442768,10/01/1986
55616,443155,10/01/1986
55616,446028,10/01/1986
55616,449837,10/01/1986
55616,449948,10/01/1986
55616,450931,10/01/1986
55616,456783,10/01/1986
55616,456854,10/01/1986
55616,457068,10/01/1986
55616,458460,10/01/1986
55616,460519,10/01/1986
55616,463095,10/01/1986
55616,463582,10/01/1986
55616,463677,10/01/1986
55616,482521,10/01/1986
55616,483575,10/01/1986
55616,485589,10/01/1986
55616,523555,10/01/1986
55616,552822,10/01/1986
55616,574298,10/01/1986
55616,589448,10/01/1986
55616,591862,10/01/1986
55616,599346,10/01/1986
55616,608868,10/01/1986
55616,613115,10/01/1986
55616,667915,10/01/1986
55616,668296,10/01/1986
55616,668300,10/01/1986
55616,670018,10/01/1986
55616,679391,10/01/1986
55616,679392,10/01/1986
55618,176496,10/01/1986
55618,180203,10/01/1986
55618,411984,10/01/1986
55618,412771,10/01/1986
55618,419114,10/01/1986
55618,420324,10/01/1986
55618,427960,10/01/1986
55618,441123,10/01/1986
55618,443160,10/01/1986
55618,462278,10/01/1986
55618,478770,10/01/1986
55618,482572,10/01/1986
55618,584091,10/01/1986
55618,592706,10/01/1986
55618,641010,10/01/1986
55618,667140,10/01/1986
55618,706407,10/01/1986
55618,717068,10/01/1986
